Dia,Sector,Duração,Início,Final
19/10/2023,A,14,08:30,08:44
19/10/2023,B,8,08:44,08:52
19/10/2023,D,25,08:52,09:17
19/10/2023,E,7,09:17,09:24
19/10/2023,A,14,17:00,17:14
19/10/2023,B,8,17:14,17:22
19/10/2023,D,25,17:22,17:47
19/10/2023,E,7,17:47,17:54
20/10/2023,A,14,08:30,08:44
20/10/2023,B,8,08:44,08:52
20/10/2023,C,25,08:52,09:17
20/10/2023,E,7,09:17,09:24
20/10/2023,A,14,17:00,17:14
20/10/2023,B,8,17:14,17:22
20/10/2023,C,25,17:22,17:47
20/10/2023,E,7,17:47,17:54
21/10/2023,A,14,08:30,08:44
21/10/2023,B,8,08:44,08:52
21/10/2023,D,25,08:52,09:17
21/10/2023,E,7,09:17,09:24
21/10/2023,F,10,09:24,09:34
21/10/2023,A,14,17:00,17:14
21/10/2023,B,8,17:14,17:22
21/10/2023,D,25,17:22,17:47
21/10/2023,E,7,17:47,17:54
21/10/2023,F,10,17:54,18:04
22/10/2023,A,14,08:30,08:44
22/10/2023,B,8,08:44,08:52
22/10/2023,C,25,08:52,09:17
22/10/2023,E,7,09:17,09:24
22/10/2023,A,14,17:00,17:14
22/10/2023,B,8,17:14,17:22
22/10/2023,C,25,17:22,17:47
22/10/2023,E,7,17:47,17:54
23/10/2023,A,14,08:30,08:44
23/10/2023,B,8,08:44,08:52
23/10/2023,D,25,08:52,09:17
23/10/2023,E,7,09:17,09:24
23/10/2023,A,14,17:00,17:14
23/10/2023,B,8,17:14,17:22
23/10/2023,D,25,17:22,17:47
23/10/2023,E,7,17:47,17:54
24/10/2023,A,14,08:30,08:44
24/10/2023,B,8,08:44,08:52
24/10/2023,C,25,08:52,09:17
24/10/2023,E,7,09:17,09:24
24/10/2023,F,10,09:24,09:34
24/10/2023,A,14,17:00,17:14
24/10/2023,B,8,17:14,17:22
24/10/2023,C,25,17:22,17:47
24/10/2023,E,7,17:47,17:54
24/10/2023,F,10,17:54,18:04
25/10/2023,A,14,08:30,08:44
25/10/2023,B,8,08:44,08:52
25/10/2023,D,25,08:52,09:17
25/10/2023,E,7,09:17,09:24
25/10/2023,A,14,17:00,17:14
25/10/2023,B,8,17:14,17:22
25/10/2023,D,25,17:22,17:47
